text,rating,open,review_len,price,description,brief_des,attribute,location
The Matador,4.5,,29 reviews,$$ - $$$,,   Mexican Southwestern Latin,,"1770 Festival Plaza Dr Ste 190, Las Vegas, NV 89135-2912"
Crazy Pita Rotisserie & Grill,4.0,Open Now,40 reviews,$,, Mediterranean Grill Middle Eastern,,"6587 Las Vegas Blvd S #190, Las Vegas, NV 89119-3233"
Mundo,4.0,Open Now,110 reviews,$$ - $$$,,   Mexican Latin International,,"495 S Grand Central Pkwy Ste 116A, Las Vegas, NV 89106-4555"
Winchell's Pub & Grill,4.0,Open Now,45 reviews,$$ - $$$,"American, Bar, Pub",   American Bar Pub,"Lunch, Dinner, Breakfast, Brunch,American, Bar, Pub,Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Takeout","199 E Warm Springs Rd, Las Vegas, NV 89119-4101"
Red Rock Canyon Casino and Spa,4.0,,36 reviews,$$ - $$$,,   American,,"Charleston and 215, Las Vegas, NV"
Chonga Bar,4.0,,37 reviews,$$ - $$$,,  ,,"3900 Las Vegas Blvd S, Las Vegas, NV 89119-1004"
Havana Grill,4.0,Open Now,89 reviews,$$ - $$$,,   Latin Cuban Caribbean,,"8878 S Eastern Ave Ste 100, Las Vegas, NV 89123-3290"
Pronto by Giada,3.5,Open Now,107 reviews,$,, Quick Bites Cafe Vegetarian Friendly,,"3570 Las Vegas Blvd S In Caesars Palace, Las Vegas, NV 89109"
Lucky Penny at Palms,4.0,,35 reviews,$$ - $$$,,   American Bar Vegetarian Friendly,,"4321 W Flamingo Rd, Las Vegas, NV 89103-3903"
SkinnyFATS,4.5,Open Now,25 reviews,$$ - $$$,,   Quick Bites American Vegetarian Friendly,,"6475 N Decatur Blvd #180, Las Vegas, NV 89131-2985"
Michoacan Gourmet Mexican Restaurant,4.0,Open Now,75 reviews,$$ - $$$,,   Mexican Southwestern Seafood,,"7870 W Tropical Pkwy, Las Vegas, NV 89149-4568"
LA Subs,4.0,Open Now,64 reviews,$,"American, Fast Food, Italian", American Fast Food Italian,"Breakfast, Lunch, Dinner,American, Fast Food, Italian,Takeout, Seating, Wheelchair Accessible","Luxor Las Vegas, Food Court 3900 Las Vegas Blvd. South, Las Vegas, NV"
Lobby Bar,4.0,,39 reviews,$$ - $$$,,   Bar American,,"Luxor Las Vegas, 3900 S Las Vegas Blvd, Las Vegas, NV 89119"
Harbor Palace,4.0,Open Now,93 reviews,$$ - $$$,"Seafood, Healthy, Soups, Chinese",   Seafood Healthy Soups,"$0,Lunch, Dinner, Breakfast, Late Night,Seafood, Healthy, Soups, Chinese,Seating, Waitstaff, Serves Alcohol, Takeout, Reservations, Wheelchair Accessible","4275 Spring Mountain Rd, Las Vegas, NV 89102-8739"
Urban Crawfish Station,4.5,Open Now,20 reviews,$$ - $$$,,   Seafood,,"4821 Spring Mountain Road Ste. C Suite C/D, Las Vegas, NV 89102"
Archi's Thai Kitchen,4.5,Open Now,31 reviews,$$ - $$$,,   Asian Thai,,"6360 W Flamingo Rd Suite A, Las Vegas, NV 89103-7130"
Pancho's Vegan Tacos,4.5,,18 reviews,$,, Mexican Latin,,"4865 S Pecos Rd Ste 5, Las Vegas, NV 89121-6035"
Grand Cafe,4.0,Open Now,62 reviews,$,, American Cafe,,"4111 Boulder Hwy Boulder Station, Las Vegas, NV 89121-2510"
The Rockhouse Bar,3.5,Open Now,158 reviews,$$ - $$$,,   American Bar Pub,,"3355 Las Vegas Blvd S Suite 3200, Las Vegas, NV 89109-8941"
Norm's Eggs Cafe is Now Norm's Diner,4.5,Open Now,34 reviews,$,"Diner, American, Cafe, Vegetarian Friendly", Diner American Cafe,"$10,Vegetarian Friendly,Breakfast, Lunch, Dinner, Brunch,Diner, American, Cafe,Highchairs Available, Takeout, Seating, Waitstaff, Parking Available, Free Off-Street Parking, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations, Outdoor Seating, Wheelchair Accessible","3945 S Durango Dr Suite A1, Las Vegas, NV 89147-4129"
Westside Deli,3.5,Closed Now,133 reviews,$,, American,,"2880 Las Vegas Blvd S, Las Vegas, NV 89109-1138"
808 Sushi,4.5,Open Now,35 reviews,$$ - $$$,"Japanese, Sushi, Asian",   Japanese Sushi Asian,"Dinner, Lunch,Japanese, Sushi, Asian,Takeout, Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible","7435 S Durango Dr 101-102, Las Vegas, NV 89113-3649"
Pizza Lotto,4.0,,67 reviews,$,, Pizza Italian Vegetarian Friendly,,"600 Fremont St Inside the El Cortez Hotel and Casino, Las Vegas, NV 89101-5614"
Pizza Forte,4.0,,45 reviews,$,, Pizza Italian Vegetarian Friendly,,"4455 Paradise Rd, Las Vegas, NV 89169-6574"
Pizzeria da Enzo,4.0,Open Now,87 reviews,$,, Italian Pizza Fast Food,,"3377 Las Vegas Blvd S, Las Vegas, NV 89109-8910"
The Lakes Lounge Restaurant and Gaming Bar,4.5,Open Now,28 reviews,$$ - $$$,,   American Bar Pub,,"2920 Lake East Dr, Las Vegas, NV 89117-2203"
India Masala Bar & Grill,4.0,Closed Now,71 reviews,$$ - $$$,,   Indian Vegetarian Friendly Vegan Options,,"1040 E Flamingo Rd, Las Vegas, NV 89119-3407"
Elia Authentic Greek Taverna,4.5,Open Now,28 reviews,$$ - $$$,,   Greek Seafood Vegetarian Friendly,,"4226 S Durango Dr A101, Las Vegas, NV 89147-8721"
Windy City Beef N Dogs,4.5,Open Now,30 reviews,$,, American Fast Food,,"7500 W Lake Mead Blvd Suite 10, Las Vegas, NV 89128-0297"
H2 Eau,4.0,Open Now,40 reviews,$$ - $$$,,   American Bar Vegetarian Friendly,,"2000 N Fashion Show Dr, Las Vegas, NV 89109-1936"
The Griddle,4.5,Closed Now,24 reviews,$$ - $$$,,   American Cafe,,"9480 S Eastern Ave, Las Vegas, NV 89123-8024"
Blue Ox Tavern,4.5,Open Now,25 reviews,$,, Bar Pub,,"5825 W Sahara Ave, Las Vegas, NV 89146-3178"
Millennium Fandom Bar,5.0,Closed Now,15 reviews,$,, Bar Pub,,"900 Las Vegas Blvd S Suite 140, Las Vegas, NV 89101-6826"
Promenade Cafe,3.5,Open Now,117 reviews,$,, American Cafe Vegetarian Friendly,,"221 N Rampart Blvd, Las Vegas, NV 89145"
Mimi's,4.5,,35 reviews,$$ - $$$,"American, French, Vegetarian Friendly, Vegan Options",   American French Vegetarian Friendly,"Vegetarian Friendly, Vegan Options,Lunch, Dinner, Brunch, Breakfast,American, French,Takeout, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Reservations","6760 N Durango Dr, Las Vegas, NV 89149-4408"
Lulu's Bread and Breakfast,4.0,Closed Now,51 reviews,$$ - $$$,,   American Cafe Vegetarian Friendly,,"6720 Sky Pointe Dr, Las Vegas, NV 89131-4060"
Mimosas Gourmet,5.0,,16 reviews,$$ - $$$,,   Vegan Options Vegetarian Friendly,,"3455 S Durango Dr Suite 114, Las Vegas, NV 89117-4111"
Roberto's Taco Shop,4.0,,43 reviews,$,"Quick Bites, Mexican, Latin, Fast Food, Spanish", Quick Bites Mexican Latin,"Breakfast, Lunch, Dinner, Late Night,Mexican, Latin, Fast Food, Spanish,Takeout, Seating, Wheelchair Accessible","6820 W Flamingo Rd Ste D, Las Vegas, NV 89103-2036"
Juniper Cocktail Lounge,5.0,Closed Now,14 reviews,$$$$,, Bar,,"3770 Las Vegas Blvd S, Las Vegas, NV 89109-4337"
The Rum Runner,4.5,Open Now,37 reviews,$,"American, Bar, Pub", American Bar Pub,"$10 - $15,Breakfast, Lunch, Dinner, Late Night,American, Bar, Pub,Waitstaff, Television, Takeout, Seating, Wheelchair Accessible, Serves Alcohol","1801 E Tropicana Ave, Las Vegas, NV 89119-6530"
Hikari Sushi and Teppanyaki,4.5,Open Now,46 reviews,$$ - $$$,"Japanese, Sushi, Asian, Seafood",   Japanese Sushi Asian,"Dinner, Drinks, Lunch, Late Night,Japanese, Sushi, Asian, Seafood,Takeout, Seating, Waitstaff, Serves Alcohol, Reservations, Wheelchair Accessible","4175 S Buffalo Dr, Las Vegas, NV 89147-6223"
Kyara Japanese Tapas,4.5,Closed Now,32 reviews,$$ - $$$,"Japanese, Sushi, Asian",   Japanese Sushi Asian,"Dinner, Lunch,Japanese, Sushi, Asian,Reservations, Seating, Waitstaff, Serves Alcohol","6555 S Jones Blvd, Las Vegas, NV 89118-3338"
McDonald's,3.5,Open Now,232 reviews,$,, Quick Bites American Fast Food,,"2000 Las Vegas Blvd S Ste 30, Las Vegas, NV 89104"
Veggie Delight,4.0,Open Now,50 reviews,$,, Asian Chinese Vegetarian Friendly,,"3504 Wynn Rd, Las Vegas, NV 89103-1709"
Seabreeze Cafe,3.5,Closed Now,119 reviews,$$ - $$$,,   American Vegetarian Friendly Vegan Options,,"3950 Las Vegas Blvd S Mandalay Bay Hotel, Las Vegas, NV 89119-1005"
Hussong's Cantina at Boca Park,4.0,,61 reviews,$$ - $$$,"Mexican, Southwestern, Latin, Bar, Spanish, Pub",   Mexican Southwestern Latin,"Vegetarian Friendly,Lunch, Late Night, Dinner, Brunch,Mexican, Southwestern, Latin, Bar, Spanish, Pub,Wheelchair Accessible, Accepts Visa, Reservations, Seating, Waitstaff, Parking Available, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Free Wifi, Accepts Discover, Takeout, Outdoor Seating, Accepts Credit Cards","740 S Rampart Blvd Suite 7, Las Vegas, NV 89145-5804"
Masso Osteria,4.0,Closed Now,48 reviews,$$$$,"Italian, Vegetarian Friendly", Italian Vegetarian Friendly,"$20 - $65,Vegetarian Friendly,Dinner, Drinks,Italian,Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Takeout, Private Dining","11011 W Charleston Blvd Red Rock Casino, Resort & Spa, Las Vegas, NV 89135-1402"
Cafe Breizh,4.5,Open Now,22 reviews,$$ - $$$,,   Dessert French Cafe,,"3555 S Fort Apache Rd, Las Vegas, NV 89147-3437"
Fatburger,4.0,Open Now,75 reviews,$,, Quick Bites American Fast Food,,"11011 West Charleston Blvd, Las Vegas, NV 89135"
Cafe de Paris,4.5,,40 reviews,$$ - $$$,,   French Cafe,,"221 N. Rampart Blvd. The Regent, Las Vegas, NV 89145-5722"
Pancho's,3.5,,96 reviews,$$ - $$$,,   Mexican Southwestern Latin,,"11020 Lavender Hill Dr Downtown Summerlin Mall, Las Vegas, NV 89135-2903"
Farmer Boys,4.0,Open Now,39 reviews,$,, American Fast Food,,"5955 S Eastern Ave, Las Vegas, NV 89119-3136"
Yun Nan Garden,4.0,Open Now,37 reviews,$$ - $$$,,   Chinese Asian,,"3934 Schiff Dr, Las Vegas, NV 89103-1852"
Ely's Restaurant,4.5,,27 reviews,$,"Mexican, American, Vegetarian Friendly", Mexican American Vegetarian Friendly,"Vegetarian Friendly,Breakfast, Lunch, Brunch, Dinner,Mexican, American,Takeout, Seating, Waitstaff, Highchairs Available, Reservations, Wheelchair Accessible","2477 E Tropicana Ave, Las Vegas, NV 89121-5418"
Di Fara Pizza,3.5,,114 reviews,$$ - $$$,,   Quick Bites Pizza Fast Food,,"3570 Las Vegas Blvd S Caesars Palace Hotel & Casino, Las Vegas, NV 89109-8924"
Sbarro,4.0,Open Now,108 reviews,$,"Italian, Pizza, Fast Food", Italian Pizza Fast Food,"Lunch, Dinner,Italian, Pizza, Fast Food,Takeout, Seating, Wheelchair Accessible, Parking Available","4500 West Tropicana Avenue The Orleans Hotel and Casino, Las Vegas, NV 89103"
Habit Burger Grill,4.5,Open Now,22 reviews,$,, Quick Bites Fast Food,,"6492 N Decatur Blvd #h100a, Las Vegas, NV 89131-2959"
Joe's New York Pizza,4.0,Open Now,97 reviews,$,"Italian, Pizza, Vegetarian Friendly", Italian Pizza Vegetarian Friendly,"Vegetarian Friendly,Lunch, Dinner, Late Night,Italian, Pizza,Delivery, Takeout, Seating, Television, Wheelchair Accessible, Reservations","7580 Las Vegas Blvd S Ste 105, Las Vegas, NV 89123-1060"
LA Subs,4.0,Open Now,61 reviews,$,, American Fast Food,,"3555 Las Vegas Blvd S, Las Vegas, NV 89109-8901"
Chile Addiction,4.5,Open Now,31 reviews,$$ - $$$,,   Mexican Southwestern,,"3345 E Patrick Ln Suite 105, Las Vegas, NV 89120-3428"
Yanni's Greek Grill,4.0,Open Now,36 reviews,$,"Mediterranean, Greek, Middle Eastern, Vegan Options", Mediterranean Greek Middle Eastern,"Vegan Options,Lunch, Dinner,Mediterranean, Greek, Middle Eastern,Seating, Waitstaff, Television, Wheelchair Accessible, Reservations","9620 Las Vegas Blvd S Ste E7, Las Vegas, NV 89123-6508"
Starbucks,4.0,,59 reviews,$$ - $$$,,   American Cafe Fast Food,,"3475 Las Vegas Blvd S, Las Vegas, NV 89109-8922"
Smashburger,4.0,Open Now,38 reviews,$,, Quick Bites American Fast Food,,"4725 S Maryland Pkwy, Las Vegas, NV 89119"
Subway,3.5,Open Now,85 reviews,$,, American Fast Food,,"202 Fremont St, Las Vegas, NV 89101-5606"
Lima Limon,4.5,Open Now,32 reviews,$$ - $$$,"Peruvian, Latin, Seafood, Spanish, South American",   Peruvian Latin Seafood,"Dinner, Lunch,Peruvian, Latin, Seafood, Spanish, South American,Seating, Waitstaff, Takeout, Wheelchair Accessible, Serves Alcohol","222 S Decatur Blvd, Las Vegas, NV 89107-2932"
Masala,4.5,,18 reviews,$$ - $$$,,   Indian Vegetarian Friendly,,"3041 Las Vegas Blvd S Suite 5, Las Vegas, NV 89109-1985"
Cili,4.5,Open Now,44 reviews,$$ - $$$,,   American,,"5160 Las Vegas Blvd S, Las Vegas, NV 89119-3232"
Thunderbird Lounge,4.5,Open Now,22 reviews,$$ - $$$,"American, Bar, Pub",   American Bar Pub,"$10 - $25,Lunch, Dinner,American, Bar, Pub,Seating, Waitstaff, Wheelchair Accessible, Takeout","1215 Las Vegas Blvd S, Las Vegas, NV 89104-1307"
In-N-Out Burger,4.5,Open Now,29 reviews,$,, Quick Bites American Fast Food,,"5690 Centennial Center Blvd, Las Vegas, NV 89149-7104"
Trattoria NAKAMURA-YA,4.0,Open Now,39 reviews,$$ - $$$,,   Italian Japanese,,"5040 West Spring Mtn.Rd.Suite #5 Las Vegas, NV.89146, Las Vegas, NV"
Sonic Drive-In,4.0,Open Now,36 reviews,$,, American Fast Food,,"4260 W. Flamingo Road, Las Vegas, NV 89103"
Rio KJ Dimsum Seafood restaurant,4.5,,21 reviews,$$ - $$$,,   Chinese Seafood Asian,,"3700 W Flamingo Rd Inside Rio Casino, Las Vegas, NV 89103-4043"
Cabo Mexican Restaurant,4.0,Open Now,72 reviews,$$ - $$$,,   Mexican,,"2411 W Sahara Ave Palace Station Hotel & Casino, Las Vegas, NV 89102-4343"
Promenade Food Court,3.5,Open Now,67 reviews,$,"American, Pizza, Fast Food", American Pizza Fast Food,"Breakfast, Lunch, Dinner,American, Pizza, Fast Food,Takeout, Seating, Wheelchair Accessible","3555 Las Vegas Blvd S, Las Vegas, NV 89109-8901"
Jason's Deli,4.0,Open Now,36 reviews,$,, American Deli,,"3910 S Maryland Pkwy, Las Vegas, NV 89119-7570"
Macayo Vegas,4.0,Open Now,35 reviews,$$ - $$$,,   Mexican Southwestern,,"1741 E Charleston Blvd, Las Vegas, NV 89104-1981"
Subway,4.0,,58 reviews,$,, American Fast Food Vegetarian Friendly,,"3317 S Las Vegas Blvd, Las Vegas, NV 89109"
Mansion Dining Room,5.0,,19 reviews,$$$$,,,,"3799 Las Vegas Blvd S MGM Grand Hotel, Las Vegas, NV 89109-4319"
Yu-Yu,4.5,Open Now,22 reviews,$$ - $$$,,   Asian,,"4115 Spring Mountain Rd # E101, Las Vegas, NV 89102-8219"
Panda Express,4.0,,34 reviews,$,, Chinese Fast Food Asian,,"4321 W Flamingo Rd, Las Vegas, NV 89103-3903"
E-Jo Korean Restaurant,4.5,Open Now,26 reviews,$$ - $$$,,   Asian Korean Soups,,"700 E Sahara Ave Suite D, Las Vegas, NV 89104-2975"
Du-par's Restaurant & Bakery,3.5,Open Now,126 reviews,$$ - $$$,,   American,,"9090 Alta Dr Suncoast Hotel and Casino, Las Vegas, NV 89145-8508"
Franklin,4.5,Open Now,27 reviews,$$ - $$$,"American, Bar",   American Bar,"Lunch, Dinner,American, Bar,Wheelchair Accessible, Seating, Waitstaff","3940 Las Vegas Blvd S Delano Hotel Las Vegas, Las Vegas, NV 89119-1002"
McDonald's,3.5,Open Now,129 reviews,$,, Quick Bites American Fast Food,,"2896 Las Vegas Blvd S, Las Vegas, NV 89109"
Cutting Board Filipino Gastropub,4.5,Open Now,36 reviews,$$ - $$$,,   Filipino Asian,,"2131 Rock Springs Dr, Las Vegas, NV 89128-8304"
Chipotle Mexican Grill,4.0,Open Now,34 reviews,$,, Mexican Fast Food Southwestern,,"7370 Las Vegas Blvd S, Las Vegas, NV 89123"
Panera Bread,4.0,Open Now,31 reviews,$$ - $$$,,   American Soups Cafe,,"7175 West Lake Mead Boulevard Ste 190, Las Vegas, NV 89128"
The Kitchen at Atomic,5.0,Opens in 27 min,13 reviews,$$ - $$$,,  ,,"927 Fremont St, Las Vegas, NV 89101-5401"
Pin Kaow 2,4.0,Open Now,55 reviews,$$ - $$$,,   Asian Thai,,"7835 S Rainbow Blvd, Las Vegas, NV 89139-6455"
Subway,4.0,Open Now,37 reviews,$,, Fast Food,,"2246 Paradise Rd, Las Vegas, NV 89104-2516"
Lanai Express,3.5,Open Now,228 reviews,$,"Quick Bites, Chinese, American, Fast Food, Asian", Quick Bites Chinese American,"Lunch, Dinner, Late Night,Chinese, American, Fast Food, Asian,Takeout, Seating, Wheelchair Accessible","200 Fremont St, Las Vegas, NV 89101-5622"
Feast Buffet at Santa Fe Station,3.5,Open Now,133 reviews,$,, American International Vegetarian Friendly,,"4949 N Rancho Dr, Las Vegas, NV 89130-3505"
Aces & Ales,4.0,Open Now,49 reviews,$$ - $$$,"American, Bar, Pub, Brew Pub, Gastropub",   American Bar Pub,"Lunch, Dinner, Breakfast, Brunch, Late Night, Drinks,American, Bar, Pub, Brew Pub, Gastropub,Takeout, Outdoor Seating, Television, Seating, Waitstaff, Parking Available, Street Parking, Free Off-Street Parking, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wheelchair Accessible, Accepts Credit Cards","2801 N Tenaya Way, Las Vegas, NV 89128-1419"
McDonald's,4.0,Open Now,50 reviews,$,, Quick Bites Fast Food American,,"1601 W Charleston Blvd, Las Vegas, NV 89102-2333"
Subway,3.5,Open Now,90 reviews,$,, American Fast Food,,"2890 Las Vegas Blvd S, Las Vegas, NV 89109-1138"
The Hush Puppy,4.5,Closed Now,31 reviews,$$ - $$$,,   American Seafood,,"1820 N Nellis Blvd, Las Vegas, NV 89115-6604"
Boston Pizza.,4.0,Open Now,48 reviews,$,, Pizza Italian American,,"1507 Las Vegas Blvd S, Las Vegas, NV 89104"
Metro Diner,4.0,,34 reviews,$$ - $$$,,   American Diner Vegetarian Friendly,,"7305 S Rainbow Blvd Suite 100, Las Vegas, NV 89139-0413"
"Cleaver- Butchered Meats, Seafood & Classic Cocktails",4.5,Closed Now,16 reviews,American,,American,,"3900 Paradise Rd D-1, Las Vegas, NV 89169-0931"
CUT by Wolfgang Puck,4.5,,15 reviews,Steakhouse,,Steakhouse Bar International Pub,,"3325 Las Vegas Blvd S Palazzo Grand Canal Shops, Las Vegas, NV 89109-1414"
Pieology Pizzeria,4.5,,16 reviews,Quick Bites,,Quick Bites Pizza,,"3799 Las Vegas Blvd S, Las Vegas, NV 89109-4319"
Cinnamon's Vegas,4.5,,25 reviews,$$ - $$$,"American, Hawaiian, Vegetarian Friendly",   American Hawaiian Vegetarian Friendly,"Vegetarian Friendly,Breakfast, Lunch, Brunch,American, Hawaiian,Takeout, Waitstaff, Wheelchair Accessible, Seating","7591 W Washington Ave Suite 110, Las Vegas, NV 89128-4341"
Alexxa's Bar,4.0,Open Now,28 reviews,$$ - $$$,,   Bar Pub International,,"3655 Las Vegas Blvd S Paris Las Vegas Hotel, Las Vegas, NV 89109-4345"
Village Pub Wigwam,4.0,Open Now,44 reviews,$$ - $$$,,   Bar Pub American,,"8515 S Eastern Ave, Las Vegas, NV 89123-2841"
Citrus,4.0,,30 reviews,$$ - $$$,,   Bar Pub,,"206 N 3rd St Downtown Grand, Las Vegas, NV 89101-2931"
Krung Thai Restaurant,4.0,Open Now,31 reviews,$$ - $$$,,   Asian Thai Vegetarian Friendly,,"4130 S Decatur Blvd, Las Vegas, NV 89103-5812"
Panna Thai Restaurant,4.0,Open Now,37 reviews,$$ - $$$,"Asian, Thai, Vegetarian Friendly, Vegan Options",   Asian Thai Vegetarian Friendly,"Vegetarian Friendly, Vegan Options,Lunch, Dinner,Asian, Thai,Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","6015 S Fort Apache Rd Ste 100, Las Vegas, NV 89148-5543"
Panera Bread,4.5,Open Now,26 reviews,$,, Bakeries American Cafe,,"740 South Rampart Boulevard Suite 3, Las Vegas, NV 89145"
Macayo Vegas,4.0,,47 reviews,$$ - $$$,,   Mexican Southwestern Vegetarian Friendly,,"8245 W Sahara Ave, Las Vegas, NV 89117-1804"
Nathan's Famous Hot Dogs,4.0,Open Now,59 reviews,$,, American Fast Food,,"4321 W Flamingo Rd, Las Vegas, NV 89103-3903"
Istanbul Mediterranean,4.0,,31 reviews,$,, Fast Food Mediterranean Middle Eastern,,"3615 Las Vegas Blvd S Ste 101 Plaza in front of Bally's, Las Vegas, NV 89109-4329"
Jerry's Nugget Casino,4.0,Open Now,74 reviews,$$ - $$$,,   American,,"1821 Las Vegas Blvd N, Las Vegas, NV 89030-6936"
Pasta Cucina,4.0,Closed Now,37 reviews,$$ - $$$,,   Italian,,"4111 Boulder Hwy, Las Vegas, NV 89121-2510"
H2O Sushi & Izakaya,4.5,,18 reviews,$$ - $$$,,   Japanese Sushi Asian,,"325 Hughes Center Dr Suite 120, Las Vegas, NV 89169-4830"
Applebee's,4.5,Open Now,23 reviews,$$ - $$$,"American, Bar, Pub",   American Bar Pub,"Lunch, Dinner,American, Bar, Pub,Seating, Waitstaff, Wheelchair Accessible","4605 W Charleston Blvd, Las Vegas, NV 89102-1548"
Capriotti's Sandwich Shop,4.5,Open Now,15 reviews,$,, Quick Bites Fast Food,,"4983 W Flamingo Rd, Las Vegas, NV 89103-6224"
PastaIdea,4.5,Open Now,29 reviews,$$ - $$$,,   Italian Vegetarian Friendly Vegan Options,,"7668 W Lake Mead Blvd #107, Summerlin Area, Las Vegas, NV 89128-6628"
Crazy Pita at Downtown Summerlin,4.0,,29 reviews,$,"Quick Bites, Mediterranean, Greek, Middle Eastern, Moroccan, Fast Food", Quick Bites Mediterranean Greek,"Vegetarian Friendly, Vegan Options,Lunch, Dinner,Mediterranean, Greek, Middle Eastern, Moroccan, Fast Food,Takeout, Seating, Wheelchair Accessible","10975 Sage Park Dr #100, Las Vegas, NV 89135-1461"
Dim Sum Cafe,4.0,Open Now,31 reviews,$,, Chinese Asian Vegetarian Friendly,,"3700 S Hualapai Way, Las Vegas, NV 89147-5739"
McDonald's,3.5,Open Now,67 reviews,$,, Quick Bites American Fast Food,,"3999 Las Vegas Blvd S Across fro Mandalay Bay Hotel, Las Vegas, NV 89119"
Daily Kitchen & Wellness Bar,4.5,Open Now,28 reviews,$$ - $$$,,   American Vegan Options Vegetarian Friendly,,"3645 S Town Center Dr, Las Vegas, NV 89135-3018"
LV Food Junky,4.5,,14 reviews,$,, American Mexican Vegetarian Friendly,,"450 Fremont St Suite 135, Las Vegas, NV 89101-5623"
Noodle Shop,3.5,Open Now,522 reviews,$$ - $$$,,   Chinese Vegetarian Friendly,,"3950 Las Vegas Blvd S Mandalay Bay, Las Vegas, NV 89119-1005"
J C Wooloughan's Irish Pub,3.5,Open Now,142 reviews,$$ - $$$,"American, Bar, Pub, Irish",   American Bar Pub,"$0,Dinner, Lunch, Late Night,American, Bar, Pub, Irish,Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Takeout, Reservations","221 N Rampart Blvd, Las Vegas, NV 89145-5722"
Pizza Rev,5.0,Open Now,14 reviews,$,, Pizza,,"7090 S Rainbow Blvd, Las Vegas, NV 89118-3288"
The Game,4.0,Opens in 27 min,28 reviews,$,"American, Bar, Pub", American Bar Pub,"Lunch, Dinner,American, Bar, Pub,Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","9090 Alta Dr, Las Vegas, NV 89145-8508"
Ping Pong Thai Restaurant,4.0,Open Now,47 reviews,$$ - $$$,,   Asian Thai Vegetarian Friendly,,"2955 E Sunset Rd Ste 109-110, Las Vegas, NV 89120-2725"
Prospector Joes's gold mine bar & Grill,3.5,Open Now,98 reviews,$$ - $$$,"American, Bar",   American Bar,"Breakfast, Lunch, Dinner, Brunch,American, Bar,Takeout, Seating, Waitstaff, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar","3950 Koval Ln, Las Vegas, NV 89109-4702"
Amlee Chinese Restaurant,4.0,Open Now,38 reviews,$$ - $$$,"Chinese, Asian",   Chinese Asian,"Lunch, Dinner,Chinese, Asian,Takeout, Seating, Waitstaff, Delivery, Reservations, Wheelchair Accessible, Serves Alcohol","3827 E Sunset Rd, Las Vegas, NV 89120-3327"
Pizza Company,4.5,Open Now,32 reviews,$,"Pizza, Italian, Vegetarian Friendly, Vegan Options", Pizza Italian Vegetarian Friendly,"Vegetarian Friendly, Vegan Options,Lunch, Dinner,Pizza, Italian,Delivery, Takeout, Reservations, Seating, Wheelchair Accessible","2275 E Sunset Rd, Las Vegas, NV 89119-4915"
Azuza Hookah Lounge & Cafe,4.5,Closed Now,28 reviews,$$ - $$$,,   Bar Mediterranean Spanish,,"Paradise Rd #450, Las Vegas, NV 89169"
Popeyes Louisiana Kitchen,4.0,Open Now,48 reviews,$,, Quick Bites American Fast Food,,"8132 Las Vegas Blvd S, Las Vegas, NV 89123-1015"
Favorite Bistro,4.5,,13 reviews,$$ - $$$,"French, American",   French American,"$15 - $50,French, American","3545 Las Vegas Blvd S, Las Vegas, NV 89109-8978"
Good Pie,5.0,Open Now,11 reviews,$,, Italian Pizza,,"725 Las Vegas Blvd S, Las Vegas, NV 89101-6749"
Cinnaholic,4.5,Open Now,19 reviews,$$ - $$$,,   Dessert American Vegetarian Friendly,,"4165 S Grand Canyon Dr Ste 103, Las Vegas, NV 89147-7174"
Subway,4.0,Open Now,22 reviews,$,,,,"3991 Dean Martin Dr, Las Vegas, NV 89103-4144"
Kabob Grill,4.5,Open Now,18 reviews,$$ - $$$,"Mediterranean, Middle Eastern, International, Persian, Halal",   Mediterranean Middle Eastern International,"$3 - $15,Halal,Lunch, Dinner,Mediterranean, Middle Eastern, International, Persian,Seating, Reservations, Wheelchair Accessible","9550 S Eastern Ave Ste 195, Las Vegas, NV 89123-8043"
Grape Street Cafe,3.5,,68 reviews,$$ - $$$,"American, Vegetarian Friendly",   American Vegetarian Friendly,"Vegetarian Friendly,Lunch, Dinner,American,Reservations, Outdoor Seating, Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol","2120 Festival Plaza Dr #160, Downtown Summerlin, Las Vegas, NV 89135-2937"
Hong Kong Garden Seafood & BBQ Cafe,4.0,Open Now,31 reviews,$$ - $$$,,   Chinese Seafood Asian,,"3407 S Jones Blvd, Las Vegas, NV 89146-6729"
